0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.6514359466673341,1,0,NA
1,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,1.0412343466596212,0,1,NA
2,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.9347665066743502,1,1,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.7135897600091994,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.6259827199974097,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.7705523199983872,1,1,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,3.6703142399928765,2.0,0.0,1.0
8.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,2.7011289600050077,1.0,0.0,0.0
9.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.9422045866667759,2.0,0.0,1.0
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,5,No answer,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,5,No answer,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,4.290200746676419,1,1,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,3.0389777066593524,2.0,0.0,1.0
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,1.8198084266623482,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.6716433066612808,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,1.4283549866668181,1,1,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,6.179030186656746,1.0,0.0,0.0
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,5,No answer,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,2.319394560006913,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.5376597333379323,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.7580582399968989,1,1,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,1.3948748800030444,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.3321544533246197,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.309628586677718,0,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.5174587733345106,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,1.4799820799962617,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.3556471466727089,0,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,5,No answer,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,5,No answer,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.5041228799964301,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.7762483200058341,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.2896806399949128,0,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,1.138255786660011,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.5857877333328361,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.2946363733353792,0,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,3.151555839998764,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.3711872000130825,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.7031987200025469,0,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.5008614399994258,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.3535837866656948,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.9722688000038033,0,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.8176243199995952,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.29733973332622554,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.7426956800045446,0,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,2.2427012266707607,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.7990434133389499,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.9734080000198446,1,1,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,26.081780906650238,3.0,0.0,0.0
8.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.5438783999998122,3.0,0.0,0.0
9.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.46330666667199694,3.0,0.0,0.0
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.8505612800072413,1,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,1.4669243733223993,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,5,No answer,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.611784959997749,1,1,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,1.7762986666639335,2.0,0.0,1.0
8.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.47424298667465337,1.0,0.0,0.0
9.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,1.2166237866622396,3.0,0.0,0.0
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.9889898666588124,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.6611485866596922,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,2.209527466678992,0,0,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,2.8496179200010374,2.0,0.0,1.0
8.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,21.690991786657833,2.0,0.0,1.0
9.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.5047714133397676,0.0,0.0,1.0
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,2.498393173329532,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.5280324266641401,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,1.7489322666660883,0,0,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.9156040533562191,2.0,0.0,1.0
8.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.463509333319962,1.0,0.0,0.0
9.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,7.069424639979843,3.0,0.0,0.0
13.0,GeneralTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,Data/Images/Contexts/city.jpg,nan,Middle,2.7506111999973655,0,0,NA
14.0,GeneralTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/mountain.jpg,Data/Images/Contexts/ocean.jpg,nan,Left,3.062663253338542,2,0,NA
15.0,GeneralTest,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,Data/Images/Contexts/mountain.jpg,nan,Right,0.5838408533309121,1,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,1.1129395199823193,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.6110540799854789,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.622742613311857,1,1,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.943947093328461,2.0,0.0,1.0
8.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.4980799999902956,2.0,0.0,1.0
9.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.34185898667783476,1.0,0.0,0.0
13.0,GeneralTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,Data/Images/Contexts/city.jpg,nan,Middle,0.8478813866677228,1,1,NA
14.0,GeneralTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/mountain.jpg,Data/Images/Contexts/ocean.jpg,nan,Left,0.2994487466639839,2,0,NA
15.0,GeneralTest,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,Data/Images/Contexts/mountain.jpg,nan,Right,0.36979285333654843,0,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.8534062933467794,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.3621845333254896,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.2941666133410763,0,0,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.33613055999740027,2.0,0.0,1.0
8.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.29098581333528273,2.0,0.0,1.0
9.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.27015381335513666,1.0,0.0,0.0
13.0,GeneralTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,Data/Images/Contexts/city.jpg,nan,Middle,0.6908846933220048,1,1,NA
14.0,GeneralTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/mountain.jpg,Data/Images/Contexts/ocean.jpg,nan,Left,0.3315950933319982,2,0,NA
15.0,GeneralTest,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,Data/Images/Contexts/mountain.jpg,nan,Right,0.49595648000831716,0,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.46070271998178214,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.3051997866423335,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.3230792533431668,0,0,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.7563404799730051,2.0,0.0,1.0
8.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.5647368533245753,2.0,0.0,1.0
9.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.45604650664608926,1.0,0.0,0.0
13.0,GeneralTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,Data/Images/Contexts/city.jpg,nan,Middle,1.1060117333254311,1,1,NA
14.0,GeneralTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/mountain.jpg,Data/Images/Contexts/ocean.jpg,nan,Left,0.36922496001352556,1,0,NA
15.0,GeneralTest,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,Data/Images/Contexts/mountain.jpg,nan,Right,0.3083063466765452,1,0,NA
18.0,FeatureTest,blocked,nan,nan,nan,nan,nan,nan,nan,nan,2_arm_1.png,nan,nan,nan,Studied,2.7022583466605283,1,0,NA
19.0,FeatureTest,blocked,nan,nan,nan,nan,nan,nan,nan,nan,2_ant_1.png,nan,nan,nan,Tested,0.5141397333354689,2,0,NA
20.0,FeatureTest,blocked,nan,nan,nan,nan,nan,nan,nan,nan,2_eye_1.png,nan,nan,nan,New,0.5263607466768008,0,0,NA
0.0,Study,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,nan,0.0,Left,0.640004693355877,1,0,NA
1.0,Study,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,NAN,0.0,Left,0.3227054933377076,1,0,NA
2.0,Study,interleaved,2.0,4.0,1.0,4.0,1.0,2.0,3.0,255.0,nan,Data/Images/Contexts/mountain.jpg,nan,1.0,Right,0.3049126399855595,0,0,NA
7.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.9079965866694693,2.0,0.0,1.0
8.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,0.6628910933213774,2.0,0.0,1.0
9.0,MemoryTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,nan,nan,nan,Old,1.4355541333497968,1.0,0.0,0.0
13.0,GeneralTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/ocean.jpg,Data/Images/Contexts/city.jpg,nan,Middle,1.702316373353824,1,1,NA
14.0,GeneralTest,blocked,2.0,3.0,4.0,1.0,2.0,4.0,2.0,255.0,nan,Data/Images/Contexts/mountain.jpg,Data/Images/Contexts/ocean.jpg,nan,Left,0.5543556266638916,2,0,NA
15.0,GeneralTest,blocked,2.0,1.0,2.0,2.0,1.0,1.0,3.0,255.0,nan,Data/Images/Contexts/city.jpg,Data/Images/Contexts/mountain.jpg,nan,Right,1.0836936533160042,0,0,NA
18.0,FeatureTest,blocked,nan,nan,nan,nan,nan,nan,nan,nan,2_arm_1.png,nan,nan,nan,Studied,1.9693875200173352,1,0,NA
19.0,FeatureTest,blocked,nan,nan,nan,nan,nan,nan,nan,nan,2_ant_1.png,nan,nan,nan,Tested,0.3638041600061115,2,0,NA
20.0,FeatureTest,blocked,nan,nan,nan,nan,nan,nan,nan,nan,2_eye_1.png,nan,nan,nan,New,0.23407701335963793,0,0,NA
